Name,English Translation,Category,Sub-category,Official Kodokan,Video URL
Ippon-seoi-nage,One-arm shoulder throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=rbAtfSqo73U
Morote-seoi-nage,Two-arm shoulder throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Tai-otoshi,Body drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=jtmjPzE5uco
Kata-guruma,Shoulder wheel,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=8MaSnFLRAHM
Seoi-otoshi,Shoulder drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Sumi-otoshi,Corner drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=gl51XpJyit8
Uki-otoshi,Floating drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=gl51XpJyit8
Yama-arashi,Mountain storm,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Kibisu-gaeshi,Heel trip,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=wZdGRez4ZRA
Kuchiki-taoshi,Single leg takedown,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=zEmRLNpS2j8
Morote-gari,Two-leg reap,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Sukui-nage,Scooping throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=zEmRLNpS2j8
Obi-otoshi,Belt drop,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=B18U2SHhQ-s
Tsubame-gaeshi,Swallow counter,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=GwweWqqFB5g
Uchi-makikomi,Inner wraparound,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=8MaSnFLRAHM
Daki-age,High lift,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
,,,Koshi-waza,No,https://www.youtube.com/watch?v=LhVvmFDLMo0
O-goshi,Major hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=dyKXrAQpJx8
Koshi-guruma,Hip wheel,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=SU7Id6uVJ44
Tsurikomi-goshi,Lifting pulling hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=CkFAFbXgRM4
Harai-goshi,Sweeping hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=ZObJalOB23U
Hane-goshi,Spring hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=jtmjPzE5uco
Ushiro-goshi,Rear hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=ORIYstuxYT8
Utsuri-goshi,Hip shift,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=4pQd_bEnlf0
O-tsuri-goshi,Major lifting hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=51Htlp7xEvE
O-guruma,Large wheel,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=I8Xn3Sz-R7A
Sode-tsurikomi-goshi,Sleeve lifting pulling hip throw,Nage-waza,Koshi-waza,Yes,https://www.youtube.com/watch?v=CkFAFbXgRM4
Deashi-harai,Advanced foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Okuri-ashi-harai,Sliding foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=IAtDLZrs_NQ
Harai-tsurikomi-ashi,Lifting pulling foot sweep,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=gGPXvWL8VbE
Sasae-tsurikomi-ashi,Lifting pulling ankle block,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=699i--pvYmE
Hiza-guruma,Knee wheel,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=d2vcFAJu_98
Ouchi-gari,Major inner reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Ko-uchi-gari,Minor inner reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=gh9d1MVFx2I
O-soto-gari,Major outer reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=g3xPwcNEt5A
Ko-soto-gari,Minor outer reap,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=0ldrPORA-IQ
O-soto-otoshi,Major outer drop,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=g3xPwcNEt5A
Ko-soto-otoshi,Minor outer drop,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=2DsVvDw7b8g
Ko-soto-gake,Minor outer hook,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=0ldrPORA-IQ
O-soto-guruma,Major outer wheel,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=g3xPwcNEt5A
O-uchi-gaeshi,Inner reap counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=dCyZTXyjIXE
Ko-uchi-gaeshi,Inner minor reap counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=dCyZTXyjIXE
Ashi-guruma,Leg wheel,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=ZObJalOB23U
Hane-goshi-gaeshi,Hip spring counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=9bZAZSBtnGs
Tai-otoshi-gaeshi,Body drop counter,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Daki-wakare,Hug split,Nage-waza,Ashi-waza,Yes,https://www.youtube.com/watch?v=I8Xn3Sz-R7A
Tomoe-nage,Circle throw,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=880WbHvHv6A
Hikikomi-gaeshi,Pulling sacrifice throw,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=RDIJVm-7tro
Sumi-gaeshi,Corner reversal,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=RDIJVm-7tro
Tawara-gaeshi,Rice bag reversal,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=TmTWgrmViZc
Ura-nage,Rear throw,Nage-waza,Ma-sutemi-waza,Yes,https://www.youtube.com/watch?v=Fgi9b8DJ5sQ
Yoko-otoshi,Side drop,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=gh9d1MVFx2I
Tani-otoshi,Valley drop,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=87iWl7KvAEQ
Yoko-gake,Side hook,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=tP1Sj1uDfSo
Yoko-guruma,Side wheel,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=I8Xn3Sz-R7A
Yoko-wakare,Side separation,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=vpr8A08Eixw
Soto-makikomi,Outer wraparound,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=ydqHuJWp1LY
Kawazu-gake,One-leg entanglement,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=w6G57bWACi0
Kani-basami,Crab scissors,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=OR-HGHnarYc
Obi-tori-gaeshi,Belt grab reversal,Nage-waza,Yoko-sutemi-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
Ko-uchi-makikomi,small inner wrap-around throw,Nage-waza,Ma-sutemi-waza,No,https://www.youtube.com/watch?v=8MaSnFLRAHM
Yoko-sumi-gaeshi,,Nage-waza,Yoko-sutemi-waza,No,https://www.youtube.com/watch?v=5VhduA5xkbA
Eri-seoi-nage,Collar shoulder throw,Nage-waza,Te-waza,Yes,https://www.youtube.com/watch?v=5Qed-LIErpw
